"1. Function of the process item - function of the system, sub-system, part element or process",Specification of process item,2. Function of the process step and product characteristic,No.,Requirement / Specification of the process step,Filter code,3. Function of the process work element and process characteristic,Specification of the process work element,1. Failure effect (FE) to next higher level element and/or end user,Severity (S) of FE,Severity (S max) of FE,2. Failure mode (FM) of the focus element,3. Failure cause (FC) of the work element,Current preventive control (PC) for FC,Occurrence (O1) of FC,Current detection control (DC) for FC or FM,Detection (D1) of FC/FM,PFMEA AP1,Action bundle (date),Recommended action,P/D,Name of responsible person,Target completion date,Status,Action taken with pointer to evidence,P/D.1,Completion date,Severity (S),Occurrence (O2),Detection (D2),PFMEA AP2,subject,fmea_id,fmea_type,package,location,SME_Remark,Index,fmea_idx_id
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Shorted Ball Bond,"Bond arm jerking due to free play between lead screw and lead screw block
[Machine_Z8R00003729]","(P) Preventive Maintenance (Z8R00000703, Z8R00000702)

(P) Calibration (Z8R00002200)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1109,Z8R00003729_1109
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Shorted Ball Bond,"Bond head accuracy shift
[Machine_Z8R00003729]","(P) Preventive Maintenance (Z8R00000703, Z8R00000702)

(P) Calibration (Z8R00002200)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1110,Z8R00003729_1110
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Shorted Ball Bond,"Inconsistent X-Y table movement
[Machine_Z8R00003729]","(P) Preventive Maintenance (Z8R00000703, Z8R00000702)

(P) Calibration (Z8R00002200)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1111,Z8R00003729_1111
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Shorted Ball Bond,"Loosen X-Y Table
[Machine_Z8R00003729]","(P) Preventive Maintenance (Z8R00000703, Z8R00000702)

(P) Calibration (Z8R00002200)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1112,Z8R00003729_1112
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Shorted Ball Bond,"Wrong manual assist
[Method_Z8R00003729]","(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)

(P) Calibration (Z8R00002200)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1113,Z8R00003729_1113
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Shorted Ball Bond,"Bonding parameters out of specification limits
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602, Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

APC monitoring for input parameter (Z8R00004954)",2,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1114,Z8R00003729_1114
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",7,7,Malformed Bond,"EFO sparking electrode worn out
[Machine_Z8R00003729]","(P) Procedural Controls (Z8R00002075, Z8R00002076,Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(P) Used Electrode Cleaning ((Z8R00000802,)                                                         (D) Electrode Counters

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1115,Z8R00003729_1115
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Malformed Bond,"EFO sparking electrode dirty
[Machine_Z8R00003729]","(P) Procedural Controls (Z8R00002075, Z8R00002076,Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(P) Used Electrode Cleaning ((Z8R00000802,)                                                    (D) Electrode Counters

(D) Auto Vision Inspection (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1116,Z8R00003729_1116
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",7,7,Shorted Wires,"Excessive wire after dummy bond/wire rethreading
[Method_Z8R00003729]","(P) Design Change/Modification: (Z8R00000046):  Machine software upgrade which prompt for excessive wire removal after dummy bond

(P) Implement Standard Wire threading location at ASM wirebonder. Priority on DSO 52 devices

(P) Enhanced OJTI for Wire threading procedure",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1117,Z8R00003729_1117
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Shorted Wires,"Foreign material/particle
[Milieu_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)",2,"(D) Auto Vision Inspection  (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1118,Z8R00003729_1118
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Shorted Wires,"Long wire length
[Method_Z8R00003729]","(P) Design Change/Modification: (Z8R00000046)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Auto Vision Inspection  (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",4,L,31/3/2022 0:00,implement wire looping with kink on mid span (S8803) for longer wire which close distance to adjacent wire to increase its resistance to sway,P,Janryll Hungoy_Tuazon(tuazonja),30/9/2022 0:00,Closed,implement wire looping with kink on mid span for longer wire which close distance to adjacent wire to increase its resistance to sway,P,26/6/2024 0:00,7,1,4,L,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1119,Z8R00003729_1119
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Shorted Wires,"Looping parameters not optimized
[Method_Z8R00003729]","(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) Perform J-Loop on Pin 29 (S1303 device)

(P) Recipe Management System (Z8R00003906)",2,"(D) Auto Vision Inspection  (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Include Autovision inspection coverage for J-loop",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1120,Z8R00003729_1120
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Shorted Wires,"Wrong bonding sequence
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)",2,"(D) Auto Vision Inspection  (Z8R00002191)

(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1121,Z8R00003729_1121
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Shorted Wires,"Wrong manual assist
[Method_Z8R00003729]","(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1122,Z8R00003729_1122
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",,,Shorted Wires,"Un-optimized cut parameter for BSOB bond
[Machine_Z8R00003729]","(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) Definition of optimized BSOB cut parameter

(P) Recipe Management System (Z8R00003906)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection  (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1123,Z8R00003729_1123
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Reliability failure
[Z8R00003729]",8,8,Skid Bond (Stitch Bond),"Lead frame contamination
[Material_Z8R00003729]","(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) Direct/Indirect Material Shelf/Floor Life Control (Z8R00000604)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection  (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1124,Z8R00003729_1124
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Reliability failure
[Z8R00003729]",,,Skid Bond (Stitch Bond),"Lead frame oxidation
[Material_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) Recipe Management System (Z8R00003906): To ensure oxidation protection delay is turned on",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection  (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1125,Z8R00003729_1125
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Reliability failure
[Z8R00003729]",,,Skid Bond (Stitch Bond),"Perpendicularity of capillary/wedge is not obtained
[Machine_Z8R00003729]","(P) Preventive Maintenance (Z8R00000703, Z8R00000702)

(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1126,Z8R00003729_1126
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Reliability failure
[Z8R00003729]",,,Skid Bond (Stitch Bond),"Bonding parameters out of specification limits
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602, Z8R00000604)

(P) Machine Set Up/Conversion (Z8R00000802, Z8R00000809)

(P) System Access Protection

(P) Recipe Management System (Z8R00003906)",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

APC monitoring for input parameter (Z8R00004954)",2,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1127,Z8R00003729_1127
"Function for Effects
[Z8R00003729]",,Bonding,,,,"Wire interconnection between bond pads and leads
[Method_Z8R00003729]
Wire interconnection between bond pads and leads
[Machine_Z8R00003729]
Wire interconnection between bond pads and leads
[Material_Z8R00003729]
Wire interconnection between bond pads and leads
[Milieu_Z8R00003729]",,"Customer: Electrical/Functional Failure
[Z8R00003729]",7,7,Smashed Wire,"Mishandling of wire/wire spool
[Method_Z8R00003729]","(P) Procedural Controls (Z8R00000601, Z8R00000602,Z8R00000604)

(P) Material Change/Modification: Use conductive wire spool without the need for grounding",2,"(D) Production Surveillance (Z8R00000076, Z8R00000078, Z8R00002076, Z8R00002075)

(D) Auto Vision Inspection (Z8R00002191)",4,L,,,,,,,,,,,,,,Process FMEA for Wirebond (Au/Cu),Z8R00003729,Process,DSO and Power DSO,Manufacturing-Batam,,1128,Z8R00003729_1128
